2k_gto_CUDA_RAY, start_time:1462769784, end_time:1462770052, run_time:268, exit_point:2, kernel_count:1
2k_lrr_CUDA_NN, start_time:1462769990, end_time:1462770056, run_time:66, exit_point:2, kernel_count:1
2k_twolevel1201_CUDA_RAY, start_time:1462769787, end_time:1462770056, run_time:269, exit_point:2, kernel_count:1
2k_lrr_CUDA_BFS2, start_time:1462770053, end_time:1462770057, run_time:4, exit_point:2, kernel_count:1
2k_lrr_CUDA_BFS2, start_time:1462770053, end_time:1462770059, run_time:6, exit_point:2, kernel_count:2
2k_twolevel1201_CUDA_BFS2, start_time:1462770058, end_time:1462770061, run_time:3, exit_point:2, kernel_count:1
2k_lrr_CUDA_BFS2, start_time:1462770053, end_time:1462770063, run_time:10, exit_point:2, kernel_count:3
2k_twolevel1201_CUDA_BFS2, start_time:1462770058, end_time:1462770064, run_time:6, exit_point:2, kernel_count:2
2k_lrr_CUDA_BFS2, start_time:1462770053, end_time:1462770065, run_time:12, exit_point:2, kernel_count:4
4k_twolevel1201_CUDA_AES, start_time:1462769939, end_time:1462770066, run_time:127, exit_point:2, kernel_count:1
4k_twolevel1201_CUDA_RAY, start_time:1462769792, end_time:1462770067, run_time:275, exit_point:2, kernel_count:1
2k_twolevel1201_CUDA_BFS2, start_time:1462770058, end_time:1462770068, run_time:10, exit_point:2, kernel_count:3
4k_twolevel601_CUDA_AES, start_time:1462769945, end_time:1462770068, run_time:123, exit_point:2, kernel_count:1
2k_lrr_CUDA_LPS, start_time:1462769743, end_time:1462770068, run_time:325, exit_point:2, kernel_count:1
2k_twolevel1201_CUDA_BFS2, start_time:1462770058, end_time:1462770070, run_time:12, exit_point:2, kernel_count:4
4k_swl16_CUDA_JPEG, start_time:1462770032, end_time:1462770071, run_time:39, exit_point:2, kernel_count:1
4k_twolevel601_CUDA_RAY, start_time:1462769791, end_time:1462770072, run_time:281, exit_point:2, kernel_count:1
4k_twolevel601_CUDA_BFS2, start_time:1462770068, end_time:1462770072, run_time:4, exit_point:2, kernel_count:1
4k_twolevel1201_CUDA_BFS2, start_time:1462770068, end_time:1462770072, run_time:4, exit_point:2, kernel_count:1
2k_lrr_CUDA_BFS2, start_time:1462770053, end_time:1462770073, run_time:20, exit_point:2, kernel_count:5
4k_twolevel301_CUDA_BFS2, start_time:1462770069, end_time:1462770073, run_time:4, exit_point:2, kernel_count:1
4k_twolevel601_CUDA_BFS2, start_time:1462770068, end_time:1462770074, run_time:6, exit_point:2, kernel_count:2
4k_gto_CUDA_BFS2, start_time:1462770070, end_time:1462770074, run_time:4, exit_point:2, kernel_count:1
4k_twolevel1201_CUDA_BFS2, start_time:1462770068, end_time:1462770074, run_time:6, exit_point:2, kernel_count:2
2k_twolevel601_CUDA_RAY, start_time:1462769786, end_time:1462770074, run_time:288, exit_point:2, kernel_count:1
4k_twolevel301_CUDA_BFS2, start_time:1462770069, end_time:1462770075, run_time:6, exit_point:2, kernel_count:2
4k_gto_CUDA_BFS2, start_time:1462770070, end_time:1462770077, run_time:7, exit_point:2, kernel_count:2
2k_lrr_CUDA_BFS2, start_time:1462770053, end_time:1462770077, run_time:24, exit_point:2, kernel_count:6
:1
4k_lrr_CUDA_BFS2, start_time:1462770073, end_time:1462770077, run_time:4, exit_point:2, kernel_count:1
2k_twolevel601_CUDA_LPS, start_time:1462769746, end_time:1462770078, run_time:332, exit_point:2, kernel_count:1
4k_twolevel601_CUDA_BFS2, start_time:1462770068, end_time:1462770078, run_time:10, exit_point:2, kernel_count:3
4k_twolevel1201_CUDA_BFS2, start_time:1462770068, end_time:1462770078, run_time:10, exit_point:2, kernel_count:3
